"","node","baselineSSTAdj","baselineSSTTot","baselineSSTWeight","fishingNode1Adj","fishingNode2Adj","fishingNode3Adj","fishingNode1Tot","fishingNode2Tot","fishingNode3Tot","energyNode1Adj","energyNode2Adj","energyNode1Tot","energyNode2Tot","fishingSumAdj","fishingSumTot","fishingWeight","decFishSumAdj","decFishWeight","energySumAdj","energySumTot","energyWeight"
"1","Winds",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"2","SourceWaterProportions",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"3","SurfaceTemperature",12,72,0.2,0,0,0,0,0,0,0,0,0,0,12,72,0.166666666666667,12,0.166666666666667,12,0,Inf
"4","SurfaceSalinity",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"5","BottomTemperature",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"6","BottomSalinity",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"7","Stratification",12,72,0.2,0,0,0,0,0,0,0,0,0,0,12,72,0.166666666666667,12,0.166666666666667,12,0,Inf
"8","HabitatPelagic",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,0,Inf
"9","HabitatNearshore",24,144,0.2,0,0,0,0,0,0,12,0,72,0,24,144,0.166666666666667,24,0.166666666666667,12,72,0.166666666666667
"10","HabitatSeafloorDemersal",64,296,0.2,-16,-4,-16,24,20,24,4,8,52,32,28,364,0.0769230769230769,100,0.274725274725275,52,84,0.619047619047619
"11","TidalForcing",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"12","AirTemperature",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"13","ForageFish",-204,412,0.5,36,6,36,40,18,72,-30,-6,58,18,-126,542,0.232472324723247,-282,0.520295202952029,-168,76,2.21052631578947
"14","Groundfish",132,252,0.5,-24,-6,-24,24,18,24,18,6,42,18,78,318,0.245283018867925,186,0.584905660377358,108,60,1.8
"15","FishedInvertebrates",-100,308,0.3,16,-2,16,24,30,24,-10,-2,54,22,-70,386,0.181347150259067,-130,0.336787564766839,-88,76,1.15789473684211
"16","CopepodsMicronekton",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,0,Inf
"17","PrimaryProduction",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,0,Inf
"18","DetritusBacteria",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"19","CommercialGroundfishFishery",-96,232,0.4,24,0,24,32,12,32,-12,0,36,12,-48,308,0.155844155844156,-144,0.467532467532468,-84,48,1.75
"20","ProtectedSpecies",96,232,0.4,-12,0,-24,40,12,32,12,0,36,12,60,316,0.189873417721519,132,0.417721518987342,84,48,1.75
"21","Benthos",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,0,Inf
"22","GelatinousZooplankton",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"23","CommercialPelagicFishery",0,0,1,0,0,12,0,0,72,0,0,0,0,12,72,0.166666666666667,-12,0.166666666666667,0,0,NA
"24","CommercialShellfishFishery",32,272,0.1,-8,4,-8,24,24,24,8,4,48,28,20,344,0.0581395348837209,44,0.127906976744186,20,76,0.263157894736842
"25","Precipitation",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"26","RecreationalGroundfishFishery",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"27","SocialCulturalValues",-96,232,0.4,24,0,24,32,12,32,-12,0,36,12,-48,308,0.155844155844156,-144,0.467532467532468,-84,48,1.75
"28","MidAtlanticGroundfish",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"29","Profits",-64,504,0.1,16,4,28,56,36,128,-4,4,84,40,-16,724,0.0220994475138122,-112,0.154696132596685,-64,124,0.516129032258065
"30","Employment",-64,504,0.1,16,4,28,56,36,128,-4,4,84,40,-16,724,0.0220994475138122,-112,0.154696132596685,-64,124,0.516129032258065
"31","Seafood",-64,504,0.1,16,4,16,56,36,56,-4,4,84,40,-28,652,0.0429447852760736,-100,0.153374233128834,-64,124,0.516129032258065
